1000 3988
0 161 63
0 326 85
0 423 97
0 583 83
0 908 52
0 306 50
0 437 53
0 886 7
0 154 33
0 670 52
1 581 58
1 5 9
1 268 64
1 109 63
1 784 93
1 854 20
1 447 63
2 96 24
2 97 67
2 736 58
2 900 20
2 744 24
2 681 40
2 206 4
2 687 66
2 794 10
2 156 62
3 64 95
3 706 38
3 298 10
3 139 11
3 716 23
3 957 1
3 144 35
3 975 74
3 434 14
3 214 12
3 984 21
3 537 98
3 572 18
3 605 39
4 835 10
4 164 78
4 783 20
4 183 35
4 923 64
4 508 39
5 1 9
5 487 27
5 649 97
5 562 76
5 660 35
5 410 7
5 541 99
6 547 98
6 645 89
6 137 96
6 777 83
6 43 40
6 303 89
6 87 89
6 380 64
6 606 89
6 607 13
7 696 45
7 433 81
7 595 75
7 597 26
7 471 72
7 888 17
7 601 48
7 927 69
8 242 52
8 605 52
8 996 97
8 853 52
9 609 69
9 555 23
9 398 52
9 207 71
9 923 3
10 393 3
10 682 12
10 586 56
10 444 21
10 636 67
10 797 60
11 165 11
11 198 30
11 522 66
11 12 35
11 332 12
11 886 78
11 829 87
12 800 69
12 98 42
12 708 98
12 744 37
12 11 35
12 889 33
13 223 79
13 101 28
13 144 100
13 946 18
13 628 95
13 58 83
13 93 18
13 447 37
14 128 89
14 425 11
14 555 9
14 748 70
14 176 32
14 80 33
14 666 10
14 154 35
15 609 96
15 225 34
15 939 48
15 334 75
15 655 13
15 240 52
15 566 80
16 769 94
16 802 46
16 361 51
16 845 3
16 526 92
16 242 15
16 376 43
16 538 73
16 891 39
17 544 53
17 801 31
17 650 54
17 42 29
17 717 35
17 621 62
17 18 38
17 851 57
18 130 16
18 132 22
18 102 51
18 17 38
18 435 4
18 343 68
18 157 65
19 99 29
19 675 84
19 326 99
19 594 46
19 404 73
19 246 2
20 64 59
20 617 89
20 490 41
20 268 51
20 336 12
20 434 96
20 50 36
20 53 2
20 635 39
20 413 83
21 482 21
21 969 50
21 433 86
21 116 17
21 152 31
21 477 10
21 383 27
22 130 78
22 322 40
22 164 24
22 870 81
22 73 86
22 56 14
23 424 26
23 865 14
23 522 58
23 43 98
24 867 44
24 167 38
24 650 73
24 780 65
24 941 58
24 206 33
24 243 88
24 726 46
24 286 70
25 128 11
25 100 40
25 293 86
25 266 44
25 988 70
25 590 94
25 494 7
25 55 72
25 476 33
26 482 14
26 455 50
26 459 84
26 300 46
26 397 63
26 814 17
26 173 89
27 728 19
27 554 42
27 367 87
28 482 20
28 773 63
28 489 42
28 108 88
28 279 23
28 760 7
28 58 59
28 62 64
29 130 8
29 741 33
29 135 70
29 40 10
29 368 26
29 562 79
29 595 15
29 735 50
29 569 8
29 380 11
29 671 53
30 838 72
30 806 98
30 776 36
30 529 42
30 147 49
30 83 71
30 437 7
30 918 20
30 852 13
30 59 95
30 511 87
31 392 45
31 429 94
31 112 21
31 307 56
31 115 53
32 961 36
32 386 21
32 579 100
32 740 98
32 612 61
32 993 86
32 135 95
32 113 58
32 563 16
32 979 49
32 152 23
32 985 14
32 477 25
33 857 34
33 946 48
33 132 91
33 548 81
34 473 19
34 431 12
34 209 79
34 277 98
34 55 36
34 377 18
34 413 11
35 37 41
35 953 11
35 523 58
35 747 10
35 589 51
35 267 23
35 557 45
35 272 14
35 595 67
35 926 24
35 157 64
35 822 54
35 825 96
35 731 76
35 317 25
35 889 19
36 993 57
36 133 96
36 169 27
36 748 69
36 974 52
36 462 68
36 658 98
36 659 89
36 539 10
37 35 41
37 775 81
37 777 71
37 753 65
37 212 77
37 948 10
37 793 85
37 732 35
38 224 16
38 514 43
38 135 34
38 809 35
38 876 59
38 917 32
39 835 81
39 419 40
39 558 83
39 622 67
39 531 79
39 54 50
39 695 94
39 411 63
39 508 73
40 129 31
40 962 39
40 837 16
40 621 46
40 925 72
40 500 75
40 29 10
40 511 92
41 971 92
41 798 17
41 703 49
42 98 83
42 663 33
42 139 77
42 141 58
42 17 29
42 119 5
42 827 72
42 60 89
43 576 100
43 923 3
43 6 40
43 73 37
43 459 73
43 396 2
43 557 25
43 974 24
43 23 98
43 571 5
43 830 100
44 579 68
44 263 11
44 362 84
44 75 80
44 175 79
44 48 17
44 209 60
44 372 69
44 276 6
44 534 66
44 93 88
45 712 49
45 81 62
45 129 45
45 423 58
46 641 14
46 652 80
46 813 33
46 728 54
46 283 50
47 640 47
47 546 33
47 645 55
47 426 84
47 179 27
47 660 48
47 821 83
47 251 94
47 62 52
48 800 76
48 352 14
48 448 49
48 452 17
48 510 47
48 776 96
48 44 17
48 461 42
48 178 48
48 120 49
48 94 12
49 449 16
49 423 80
49 328 83
49 233 52
49 494 74
49 339 42
49 863 74
50 355 39
50 583 60
50 925 46
50 20 36
50 341 8
50 342 47
50 343 4
50 283 92
50 157 46
50 990 10
50 895 97
51 992 46
51 832 4
51 319 55
51 684 64
51 877 68
51 173 49
51 205 41
51 596 46
51 53 52
51 117 12
51 157 17
51 191 73
52 772 70
52 521 37
52 750 31
52 755 51
52 756 50
52 757 13
52 887 18
53 355 42
53 452 27
53 140 35
53 877 27
53 591 40
53 51 52
53 20 2
53 663 87
53 312 5
54 705 35
54 995 40
54 997 86
54 39 50
54 685 46
54 374 52
54 793 82
54 985 61
55 34 36
55 873 86
55 857 80
55 25 72
55 703 16
56 871 55
56 74 22
56 301 63
56 149 84
56 22 14
56 246 64
56 629 92
56 92 57
56 925 16
57 896 92
57 644 40
57 549 46
57 942 88
57 787 3
58 74 7
58 77 23
58 13 83
58 205 52
58 560 32
58 589 22
58 782 76
58 981 28
58 28 59
58 157 43
59 318 10
59 200 69
59 914 15
59 723 80
59 726 64
59 887 63
59 30 95
60 584 58
60 42 89
60 523 17
60 178 17
60 982 59
61 812 13
61 271 61
62 963 54
62 581 4
62 486 14
62 103 14
62 229 71
62 424 35
62 47 52
62 495 32
62 215 100
62 28 64
63 578 82
63 355 45
63 457 26
63 810 66
63 685 39
63 401 83
63 567 74
64 3 95
64 681 22
64 493 96
64 595 80
64 20 59
65 737 29
65 194 51
65 386 38
65 677 24
65 329 90
65 684 54
65 178 22
65 787 55
65 889 37
65 413 68
66 289 77
66 897 87
66 247 35
66 279 37
66 379 80
67 612 74
67 840 76
67 301 71
67 590 69
67 976 89
67 337 9
67 241 30
67 310 23
68 994 24
68 520 44
68 331 36
68 599 13
68 762 70
68 828 11
69 577 75
69 742 58
69 391 22
69 905 20
69 204 6
69 528 71
69 949 48
69 442 48
69 444 34
70 897 22
70 98 48
70 614 16
70 236 67
70 716 64
70 812 84
70 623 61
70 816 92
70 511 30
71 962 20
71 674 17
71 477 51
71 318 99
72 99 72
72 837 94
72 358 68
72 519 40
72 870 97
72 393 35
72 363 57
72 625 15
72 151 39
73 770 94
73 514 86
73 233 35
73 43 37
73 461 22
73 22 86
73 473 91
74 513 20
74 257 35
74 713 37
74 110 58
74 950 7
74 952 66
74 56 22
74 633 71
74 58 7
74 826 85
75 741 85
75 282 88
75 44 80
75 285 10
76 888 31
76 986 62
76 284 73
77 58 23
77 132 68
77 487 63
77 240 55
77 947 31
77 405 61
77 954 74
77 286 46
78 418 41
78 520 45
78 714 75
78 651 37
78 114 94
78 467 25
78 412 31
78 319 64
79 257 12
79 225 26
79 931 91
79 339 79
79 895 66
80 99 33
80 468 90
80 14 33
80 503 20
81 384 55
81 201 83
81 908 10
81 45 62
81 685 85
81 817 18
81 148 36
81 405 7
81 377 9
81 315 49
81 318 21
81 447 17
82 453 80
82 487 14
82 236 94
82 557 88
82 142 66
82 527 52
82 684 45
82 340 38
82 854 95
82 694 90
82 254 77
83 668 65
83 454 59
83 30 71
83 191 1
84 97 28
84 865 99
84 995 87
84 133 32
84 681 42
84 780 5
84 428 58
84 244 38
84 759 39
84 159 78
85 721 57
85 988 79
85 860 70
85 854 62
86 352 21
86 292 9
86 516 6
86 169 81
86 425 45
86 971 77
86 461 100
86 525 62
86 180 34
86 479 53
87 6 89
87 937 90
87 361 96
87 585 88
87 142 35
87 175 26
87 532 19
87 564 52
87 247 98
87 828 16
87 926 72
88 359 64
88 744 80
88 904 17
88 365 25
88 784 27
88 273 42
88 381 83
88 958 86
89 318 71
89 928 29
89 130 15
89 933 20
89 778 66
89 138 62
89 334 75
89 687 29
89 750 63
89 693 6
89 534 30
89 382 86
90 746 48
90 268 20
90 335 12
90 914 1
90 154 31
91 163 35
91 579 38
91 643 56
91 139 71
91 331 74
91 941 4
91 558 18
91 760 49
91 891 15
91 252 64
92 961 56
92 930 60
92 463 35
92 56 57
92 826 49
92 636 88
93 865 64
93 134 45
93 617 51
93 765 36
93 44 88
93 13 18
93 686 11
93 881 87
93 693 42
93 117 35
93 93 25
93 255 23
